co_code,industry_type,incorporation_year,nse,year,sales,retained_profits,total_assets
113,Business services & consultancy,2000.0,AAATECH,2014.0,132.3,1.2,47.7
113,Business services & consultancy,2000.0,AAATECH,2015.0,134.9,1.0,45.3
113,Business services & consultancy,2000.0,AAATECH,2016.0,127.2,1.0,49.0
113,Business services & consultancy,2000.0,AAATECH,2017.0,123.2,0.9,52.4
113,Business services & consultancy,2000.0,AAATECH,2018.0,102.3,10.0,104.7
113,Business services & consultancy,2000.0,AAATECH,2019.0,103.4,18.6,106.0
113,Business services & consultancy,2000.0,AAATECH,2020.0,141.6,34.9,150.2
113,Business services & consultancy,2000.0,AAATECH,2021.0,110.2,9.7,260.2
113,Business services & consultancy,2000.0,AAATECH,2022.0,144.1,15.7,278.2
363,Business services & consultancy,1983.0,ABGHEAVY,2001.0,567.2,66.1,2337.6
363,Business services & consultancy,1983.0,ABGHEAVY,2002.0,30.1,71.4,2035.9
363,Business services & consultancy,1983.0,ABGHEAVY,2003.0,0.8,92.0,1940.0
363,Business services & consultancy,1983.0,ABGHEAVY,2004.0,8.7,106.6,1974.5
363,Business services & consultancy,1983.0,ABGHEAVY,2005.0,7.6,81.2,1992.6
363,Business services & consultancy,1983.0,ABGHEAVY,2006.0,34.9,135.7,2779.1
363,Business services & consultancy,1983.0,ABGHEAVY,2007.0,14.3,15.9,4494.0
363,Business services & consultancy,1983.0,ABGHEAVY,2008.0,50.3,585.5,6335.9
363,Business services & consultancy,1983.0,ABGHEAVY,2009.0,95.1,11.5,7898.6
363,Business services & consultancy,1983.0,ABGHEAVY,2010.0,40.5,44.5,6647.1
363,Business services & consultancy,1983.0,ABGHEAVY,2011.0,1452.0,19.9,6052.5
363,Business services & consultancy,1983.0,ABGHEAVY,2012.0,1457.6,46.4,5829.5
363,Business services & consultancy,1983.0,ABGHEAVY,2013.0,967.3,-62.8,5639.9
363,Business services & consultancy,1983.0,ABGHEAVY,2014.0,743.7,-183.0,5266.8
363,Business services & consultancy,1983.0,ABGHEAVY,2015.0,717.7,-136.9,5189.8
363,Business services & consultancy,1983.0,ABGHEAVY,2016.0,786.3,-7.4,4929.8
363,Business services & consultancy,1983.0,ABGHEAVY,2017.0,634.5,-234.8,4512.0
363,Business services & consultancy,1983.0,ABGHEAVY,2018.0,283.7,-120.0,3911.0
363,Business services & consultancy,1983.0,ABGHEAVY,2019.0,246.6,-280.3,3749.2
363,Business services & consultancy,1983.0,ABGHEAVY,2020.0,209.0,-1008.9,2637.9
363,Business services & consultancy,1983.0,ABGHEAVY,2021.0,183.3,-305.4,2403.8
363,Business services & consultancy,1983.0,ABGHEAVY,2022.0,144.8,-267.1,2029.8
3052,Business services & consultancy,1983.0,ATNINTER,2001.0,26.7,0.3,597.7
3052,Business services & consultancy,1983.0,ATNINTER,2002.0,28.5,-0.2,541.7
3052,Business services & consultancy,1983.0,ATNINTER,2003.0,10.6,-5.0,520.0
3052,Business services & consultancy,1983.0,ATNINTER,2004.0,10.8,-6.1,498.0
3052,Business services & consultancy,1983.0,ATNINTER,2005.0,17.7,2.1,513.1
3052,Business services & consultancy,1983.0,ATNINTER,2006.0,12.7,9.0,312.2
3052,Business services & consultancy,1983.0,ATNINTER,2007.0,10.8,-3.3,303.2
3052,Business services & consultancy,1983.0,ATNINTER,2008.0,1.3,-32.4,268.4
3052,Business services & consultancy,1983.0,ATNINTER,2009.0,1.4,0.8,275.6
3052,Business services & consultancy,1983.0,ATNINTER,2010.0,0.9,-9.9,263.0
3052,Business services & consultancy,1983.0,ATNINTER,2011.0,4.9,-9.0,257.6
3052,Business services & consultancy,1983.0,ATNINTER,2012.0,4.6,-10.5,213.3
3052,Business services & consultancy,1983.0,ATNINTER,2013.0,2.8,-46.0,186.5
3052,Business services & consultancy,1983.0,ATNINTER,2014.0,2.8,-12.2,173.0
3052,Business services & consultancy,1983.0,ATNINTER,2015.0,0.9,-1.0,170.2
3052,Business services & consultancy,1983.0,ATNINTER,2016.0,0.4,-4.6,172.1
3052,Business services & consultancy,1983.0,ATNINTER,2017.0,0.4,-9.3,125.8
3052,Business services & consultancy,1983.0,ATNINTER,2018.0,1.1,-5.5,109.4
3052,Business services & consultancy,1983.0,ATNINTER,2019.0,1.6,-2.3,110.5
