co_code|company_name|owner_code|owner_gp_name|co_industry_gp_code|co_industry_name|incorporation_year|nse_symbol|bse_scrip_id
11|20 MICRONS LTD.|020102000000|Private (Indian)|0101020300000000|Minerals|1987|20MICRONS|20MICRONS
14|20TH CENTURY FINANCE CORPN. LTD. [MERGED]|020102000000|Private (Indian)|0102031500000000|Other asset financing services|1979|20THCENFIN|20TH CENTURY
113|A A A TECHNOLOGIES LTD.|020102000000|Private (Indian)|0101041510000000|Business services & consultancy|2000|AAATECH|NA
289|A B C INDIA LTD.|020101020442|TCI-Bhoruka Group|0101040509000000|Transport logistics services|1972|NA|ABCINDQ
301|A B C O PLASTICS LTD.|020102000000|Private (Indian)|0101012045400000|Plastic furniture, floorings & miscellaneous items|1994|NA|ABCO PLASTIC
363|STARLOG ENTERPRISES LTD.|020101030131|ABG Group|0101041510000000|Business services & consultancy|1983|ABGHEAVY|STARLOG
365|A B G SHIPYARD LTD.|020101030131|ABG Group|0101014590000000|Other transport equipment & ancillaries|1985|ABGSHIP|ABGSHIP
400|A B L BIOTECHNOLOGIES LTD.|020102000000|Private (Indian)|0101041510000000|Business services & consultancy|1992|NA|ABLBIO
414|A B M INTERNATIONAL LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1983|ABMINTLLTD|NA
415|A B M KNOWLEDGEWARE LTD.|020102000000|Private (Indian)|0101040801000000|Computer software|1993|NA|ABMKNO
443|A B N GRANITES LTD.|020102000000|Private (Indian)|0101013025000000|Granite|1996|NA|ABN GRANTIES
612|A C E EDUTREND LTD.|020102000000|Private (Indian)|0101041517000000|Education|1993|NA|ACEEDU
621|A C E LABORATORIES LTD.|020101030109|A C E Laboratories Group|0101012030000000|Drugs & pharmaceuticals|1996|ACELAB|ACE LAB.
641|A C E STONECRAFT LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1992|NA|ACE STONECRA
666|A C I INFOCOM LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1982|NA|ACIIN
771|CEINSYS TECH LTD.|020102000000|Private (Indian)|0101041510000000|Business services & consultancy|1998|NA|CEINSYSTECH
783|A D F FOODS LTD.|020102000000|Private (Indian)|0101011101701000|Processed foods|1990|ADFFOODS|ADFFOODS
830|A D S DIAGNOSTIC LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1984|NA|ADSDIAG
867|A E C (INDIA) LTD.|020102000000|Private (Indian)|0101060201000000|Industrial construction|1982|AEC|AEC
871|A E C ENTERPRISES LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1996|NA|AECENTP
912|A F ENTERPRISES LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1983|NA|AFEL
934|APEEJAY TEA LTD. [MERGED]|020101030138|Apeejay Group|0101011101050000|Tea|1977|ASSAMFRONT|APEEJAYT
1034|A G S INFOTECH LTD.|020101031133|Wockhardt Group|0101040801000000|Computer software|1996|NA|AGSINFO
1120|A I A ENGINEERING LTD.|020101030111|A I A Engineering Group|0101013501150000|Castings & forgings|1991|AIAENG|AIAENG
1144|A INFRASTRUCTURE LTD.|020101020232|Kanoria Group|0101013090000000|Other construction materials|1980|NA|AINFRA
1159|A J BROTHERS LTD.|020102000000|Private (Indian)|0101041590000000|Other miscellaneous services|1980|NA|AJBRO
1315|A K C SYNTHETICS LTD.|020102000000|Private (Indian)|0101011505000000|Cloth|1985|NA|AKC SYNTHET.
1317|A K CAPITAL SERVICES LTD.|020102000000|Private (Indian)|0102059000000000|Other fee based financial services|1993|NA|AKCAPIT
1372|A K G ACOUSTICS (INDIA) LTD.|020202000000|Private (Foreign)|0101040401000000|Wholesale trading|1996|AKGACOUST|AKG ACCOUST
1464|S M S TECHSOFT (INDIA) LTD.|020102000000|Private (Indian)|0101040801000000|Computer software|1995|NA|SMSTECH
1570|A K S CREDITS LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1991|NA|AKC CREDITS
1621|A K SPINTEX LTD.|020102000000|Private (Indian)|0101011505000000|Cloth|1994|NA|AKSPINTEX
1624|A K STRUCTURAL FOAM LTD. [MERGED]|020101020445|Taparia Group|0101043500000000|Diversified non-financial services|1983|NA|NA
1792|ANDHRA MECHANICAL & ELECTRICAL INDS. LTD.|020102000000|Private (Indian)|0101014005050000|Generators, transformers & switchgears|1967|NA|AMEI POWER
1827|A M I COMPUTERS (I) LTD.|020102000000|Private (Indian)|0101040801000000|Computer software|1990|NA|AMICOMP
2015|A N G INDUSTRIES LTD.|020102000000|Private (Indian)|0101014502059000|Other automobile ancillaries|1991|ANGIND|ANGIND
2021|A N GLOBAL LTD.|020102000000|Private (Indian)|0101041510000000|Business services & consultancy|1985|NA|SILVANIA CIN
2080|A N S INDS. LTD.|020102000000|Private (Indian)|0101060209000000|Other construction & allied activities|1994|NA|ANSINDUS
2248|A P M INDUSTRIES LTD.|020101030906|Rajgarhia Group|0101011510000000|Man-made filaments & fibres|1973|NA|APMIN
2384|SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.|020202000000|Private (Foreign)|0101014010900000|Other electronics|1984|NA|SEPSL
2448|A R C FINANCE LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1982|NA|ARCFIN
2513|A R I CONSOLIDATED INVSTS. PVT. LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1943|NA|ARICONS
2566|A R M POLYMERS LTD.|020102000000|Private (Indian)|0101012045100000|Plastic packaging goods|1980|NA|ARM POLYMERS
2717|DISH T V INDIA LTD.|020101030316|Essel Group|0101041520050000|Media-broadcasting|1988|DISHTV|DISHTV
2773|ANIL SPECIAL STEEL INDS. LTD.|020101030940|Satya Group|0101013501100000|Steel|1968|ASILIND|ANILSPL
2842|A S M TECHNOLOGIES LTD.|020102000000|Private (Indian)|0101040801000000|Computer software|1992|NA|ASMTEC
2885|A S R AGRO LTD.|020102000000|Private (Indian)|0101011150000000|Other agricultural products|1994|NA|ASR AGRO LTD
2898|A S ROTOTECH LTD.|020102000000|Private (Indian)|0101015001050000|Paper & newsprint|1984|NA|AS ROTOTEC(P
3005|A T E TRADING & MFG. CO. LTD. [MERGED]|020202000000|Private (Foreign)|0101040401000000|Wholesale trading|1980|NA|A T ETRD MFG
3052|A T N INTERNATIONAL LTD.|020102000000|Private (Indian)|0101041510000000|Business services & consultancy|1983|ATNINTER|ATNINTER
3083|A T V PROJECTS INDIA LTD.|020101030104|ATV Group|0101060201000000|Industrial construction|1987|ATVPROJ|ATVPR
