industry_type|keep
Minerals|0
Granite|0
Coal & lignite|0
Crude oil & natural gas|0
Soda ash|0
Mining & construction equipment|0
|
Other asset financing services|0
Diversified financial services|0
Other fund based financial services|0
Other fee based financial services|0
Banking services|0
Auto finance services|0
Other financial services|0
Housing finance services|0
Infrastructure finance services|0
Real estate investment trust|0
Infrastructure investment trusts|0
Asset management services (mutual funds)|0
Securities broking|0
|
Other construction materials|0
Industrial construction|0
Other construction & allied activities|0
Infrastructural construction|0
Housing construction|0
Cement|0
Commercial complexes|0
|
Organic chemicals|1
Inorganic chemicals|1
Rubber products|1
Pesticides|1
Cosmetics, toiletries, soaps & detergents|1
Other chemical products|1
Dyes & pigments|1
Paints & varnishes|1
Synthetic rubber|1
Fertilisers|1
Caustic soda|1
Starches|1
Natural gas trading & distribution|1
Lubricants, etc.|1
Drugs & pharmaceuticals|1
|
Poultry & meat products|1
Tobacco products|1
Processed foods|1
Tea|1
Vegetable oils & products|1
Alcoholic beverages|1
Marine foods|1
Dairy products|1
Coffee|1
Sugar|1
Cocoa products & confectionery|1
Bakery products|1
|
Cloth|1
Man-made filaments & fibres|1
Other textiles|1
Readymade garments|1
Polymers|1
Cotton & blended yarn|1
Diversified cotton textile|1
Footwear|1
Textile processing|1
Other leather & related products|1
|
Diversified machinery|1
Industrial machinery|1
Miscellaneous electrical machinery|1
Agricultural machinery|1
Other industrial machinery|1
Industrial cooling equipment|1
Communication equipment|1
Machine tools|1
General purpose machinery|1
Other transport equipment & ancillaries|1
|
Transport logistics services|1
Other miscellaneous services|1
Other recreational & allied services|1
Telecommunication services|1
Air transport services|1
Shipping transport services|1
Shipping transport infrastructure services|1
Road transport services|1
Road transport infrastructure services|1
Railway transport services|1
Tourism|1
Health services|1
Courier services|1
|
Business services & consultancy|1
Computer software|1
Animation content provider|1
Online marketplaces|1
ITES|1
|
Electricity transmission|1
Electricity distribution|1
Renewable electricity|1
Conventional electricity|1
|
Paper products|1
Paper & newsprint|1
Media-print|1
Production & distribution of films|1
Media-content|1
Media-broadcasting|1
Education|1
Exhibition of films|1
|
Other automobile ancillaries|1
Commercial vehicles|1
Two & three wheelers|1
Passenger vehicles|1
Diversified automobile|1
Engines|1
Tyres & tubes|1
Storage batteries|1
Wires & cables|1
|
Air-conditioners & refrigerators|1
Other electronics|1
Computers, peripherals & storage devices|1
Other domestic appliances|1
Consumer electronics|1
Other consumer goods|1
Miscellaneous manufactured articles|1
Dry cells|1
Books & cards|1
Wood & wood products|1
Plastic furniture, floorings & miscellaneous items|1
Plastic packaging goods|1
Plastic films & flexible packaging|1
Plastic tubes, pipes, fittings & sheets|1
Ceramic products|1
Gems & jewellery|1
Glass & glassware|1
|
Hotels & restaurants|1
Storage & distribution|1
Wholesale trading|1
Retail trading|1
|
Other agricultural products|1
Irrigation|1
Floriculture|1
|
Other ferrous metal products|1
Diversified metal & metal products|1
Steel pipes & tubes|1
Steel|1
Copper & copper products|1
Other non-ferrous metals & metal products|1
Aluminium & aluminium products|1
Ferro alloys|1
Sponge iron|1
Pig iron|1
|
Castings & forgings|1
Generators, transformers & switchgears|1
Boilers & turbines|1
Refinery|1
Abrasives|1
Refractories|1
Milling products|1
|
Diversified manufacturing|1
Diversified|0
Diversified non-financial services|0
