co_code,name,industry_type,incorporation_year,nse
113,A A A TECHNOLOGIES LTD.,Business services & consultancy,2000.0,AAATECH
363,STARLOG ENTERPRISES LTD.,Business services & consultancy,1983.0,ABGHEAVY
3052,A T N INTERNATIONAL LTD.,Business services & consultancy,1983.0,ATNINTER
4030,AARVI ENCON LTD.,Business services & consultancy,1987.0,AARVI
8628,AIRAN LTD.,Business services & consultancy,1995.0,AIRAN
23885,ATCOM TECHNOLOGIES LTD.,Business services & consultancy,1989.0,ATCOM
25565,AVON INDUSTRIES LTD.,Business services & consultancy,1988.0,AVONIND
41184,CABOT INDIA LTD.,Business services & consultancy,1962.0,CABOTINDIA
43250,CEENIK EXPORTS (INDIA) LTD.,Business services & consultancy,1995.0,CEENIKEXPO
47542,CHOWGULE STEAMSHIPS LTD.,Business services & consultancy,1963.0,CHOWGULSTM
52181,CARE RATINGS LTD.,Business services & consultancy,1993.0,CARERATING
52194,CRISIL LTD.,Business services & consultancy,1987.0,CRISIL
70115,ALANKIT LTD.,Business services & consultancy,1989.0,ALANKIT
71506,F G P LTD.,Business services & consultancy,1962.0,FGPIND
74884,PALRED TECHNOLOGIES LTD.,Business services & consultancy,1999.0,PALREDTEC
93566,H G INDUSTRIES LTD.,Business services & consultancy,1987.0,HIMGRANITE
96443,I C R A LTD.,Business services & consultancy,1991.0,ICRA
97042,AXISCADES TECHNOLOGIES LTD.,Business services & consultancy,1990.0,AXISCADES
97115,PANORAMIC UNIVERSAL LTD.,Business services & consultancy,1992.0,PANORAMUNI
98501,TEAMLEASE SERVICES LTD.,Business services & consultancy,2000.0,TEAMLEASE
110207,JOG ENGINEERING LTD.,Business services & consultancy,1978.0,VMJOGENGG
118661,CARTRADE TECH LTD.,Business services & consultancy,2000.0,CARTRADE
120663,KILBURN ENGINEERING LTD.,Business services & consultancy,1987.0,KILBUNENGG
143377,MEGASOFT LTD.,Business services & consultancy,1999.0,MEGASOFT
148438,MOLD-TEK TECHNOLOGIES LTD.,Business services & consultancy,1985.0,MOLDTECH
148763,MONICA ELECTRONICS LTD.,Business services & consultancy,1975.0,MONICAELEC
149705,MOTOR & GENERAL FINANCE LTD.,Business services & consultancy,1930.0,MOTOGENFIN
152228,N K INDUSTRIES LTD.,Business services & consultancy,1987.0,NKIND
155989,NAVA BHARAT ENTERPRISES LTD.,Business services & consultancy,1957.0,NAVBHARENT
157795,NESCO LTD.,Business services & consultancy,1946.0,NESCO
160251,NIRLON LTD.,Business services & consultancy,1958.0,NIRLON
161853,G S L NOVA PETROCHEMICALS LTD.,Business services & consultancy,1993.0,GSLNOVA
162024,NOVOPAN INDUSTRIES PVT. LTD.,Business services & consultancy,1984.0,NOVOPANIND
162111,PRESSMAN ADVERTISING LTD.,Business services & consultancy,1983.0,PRESSMN
163534,OM INFRA LTD.,Business services & consultancy,1971.0,OMINFRAL
165800,OXIDES & SPECIALITIES LTD.,Business services & consultancy,1987.0,HERDIOXIDE
175007,PHOENIX INTERNATIONAL LTD.,Business services & consultancy,1987.0,PHOENXINTL
180663,P A E LTD.,Business services & consultancy,1950.0,PAEL
182220,PRIYA LTD.,Business services & consultancy,1986.0,PRIYADYES
190485,RAJASTHAN PETRO SYNTHETICS LTD.,Business services & consultancy,1983.0,RAJASPETRO
200633,RUCHI INFRASTRUCTURE LTD.,Business services & consultancy,1984.0,RUCHINFRA
200740,RUDRABHISHEK ENTERPRISES LTD.,Business services & consultancy,1992.0,REPL
202369,NETWORK18 MEDIA & INVST. LTD.,Business services & consultancy,1996.0,NETWORK18
205859,S V C INDUSTRIES LTD.,Business services & consultancy,1989.0,ATVPETRO
210683,SANGHVI MOVERS LTD.,Business services & consultancy,1989.0,SANGHVIMOV
216048,S I S LTD.,Business services & consultancy,1985.0,SIS
